name;modelo;link;price;km;ciudad
Renault Clio F.iv Rs Dynamique;2008;https://carro.mercadolibre.com.co/MCO-807792705-renault-clio-2008-fiv-rs-dynamique-_JM#position=1&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;17500000;146000;Cali
Renault Clio 1.2 Campus;2014;https://carro.mercadolibre.com.co/MCO-808441837-renault-clio-campus-2014-_JM#position=2&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;21500000;92700;Valle Del Lili - Cali
Renault Clio 1.2 Style Ca;2016;https://carro.mercadolibre.com.co/MCO-658359285-renault-clio-style-2016-_JM#position=3&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;28000000;51000;La Flora - Cali
Renault Clio F.iv Expression;2009;https://carro.mercadolibre.com.co/MCO-806360060-renault-clio-expression-ll-_JM#position=4&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;17500000;76500;Alfonso Bonilla Aragón - Cali
Renault Clio F.iv Expression;2010;https://carro.mercadolibre.com.co/MCO-807005186-renault-clio-2010-fiv-expression-_JM#position=5&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;17800000;99000;Cali
Renault Clio 1.2 Campus;2015;https://carro.mercadolibre.com.co/MCO-807578718-renault-clio-2015-12-campus-_JM#position=6&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;22500000;92000;Cali
Renault Clio Renault Clio 2007;2007;https://carro.mercadolibre.com.co/MCO-801662016-renault-clio-renault-clio-2007-_JM#position=7&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;14500000;105000;Cali
Renault Clio 1.4 Rn;1998;https://carro.mercadolibre.com.co/MCO-803500137-renault-clio-1998-14-rn-_JM#position=8&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;7500000;182509;Cali
Renault Clio Movistar 35/65;2009;https://carro.mercadolibre.com.co/MCO-808411847-renault-clio-movistar-3565-_JM#position=9&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;18500000;102000;Caicedonia
Renault Clio 1.2 Style Ca;2017;https://carro.mercadolibre.com.co/MCO-805218388-renault-clio-12-style-ca-_JM#position=10&search_layout=grid&type=item&tracking_id=4680b81f-2d22-4e58-8869-e0c96504a9bd;24900000;52000;Cali
