name;modelo;link;price;km;ciudad
Renault Clio 2013;2013;https://carro.mercadolibre.com.co/MCO-612876527-renault-clio-2013-_JM#position=1&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;20000000;93000;Cartago
Renault Clio 1.2 Style U;2016;https://carro.mercadolibre.com.co/MCO-611792040-renault-clio-12-style-u-_JM#position=2&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;25500000;74000;Cali
Renault Clio 1.2 Campus;2015;https://carro.mercadolibre.com.co/MCO-612334575-renault-clio-2015-12-campus-_JM#position=3&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;24800000;59600;Cali
Renault Clio 1.2 Campus;2015;https://carro.mercadolibre.com.co/MCO-606865325-renault-clio-campus-aa-2015-_JM#position=4&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;22900000;65000;Cali
Renault Clio F.iv Team Cool;2008;https://carro.mercadolibre.com.co/MCO-609844772-renault-clio-2008-fiv-team-cool-_JM#position=5&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;15500000;118000;Sevilla
Renault Clio 1.4 Mtv;2003;https://carro.mercadolibre.com.co/MCO-610801522-renault-clio-2003-14-mtv-_JM#position=6&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;12500000;228587;Jamundí
Renault Clio 1.2 Style Ca;2016;https://carro.mercadolibre.com.co/MCO-611788572-renault-clio-2016-12-style-ca-_JM#position=7&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;24999000;27000;Cali
Renault Clio F.ii Dynamique;2007;https://carro.mercadolibre.com.co/MCO-610715818-renault-clio-2007-fii-dynamique-_JM#position=8&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;16000000;140600;Cali
Renault Clio 1.2 Style Ca;2016;https://carro.mercadolibre.com.co/MCO-611126292-renault-clio-2016-12-style-ca-_JM#position=9&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;24500000;40000;Cali
Renault Clio 1.2 Sport Style;2016;https://carro.mercadolibre.com.co/MCO-613174575-renault-clio-2016-12-sport-style-_JM#position=10&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;24000000;90000;Zarzal
Renault Clio 1.4 Rxt;2003;https://carro.mercadolibre.com.co/MCO-612045113-renault-clio-1400-_JM#position=11&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;12000000;157980;Florida
Renault Clio 1.4 Rt;2000;https://carro.mercadolibre.com.co/MCO-610609795-renault-clio-2000-14-rt-_JM#position=12&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;9000000;288467;Zarzal
Renault Clio 1.2 Style Ca;2016;https://carro.mercadolibre.com.co/MCO-613081405-renault-clio-2016-12-style-ca-_JM#position=13&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;22500000;43000;Cali
Renault Clio 1.2 Style Ca;2016;https://carro.mercadolibre.com.co/MCO-611246740-renault-clio-2016-12-style-ca-_JM#position=14&type=item&tracking_id=19ac3b47-69cd-4710-85e3-a5a2383f40b8;23000000;56000;Cali
